accession	name	direct_parent	kingdom	super_class	class	sub_class	type	putative
HMDB0000656	Cysteineglutathione disulfide	Oligopeptides	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Oligopeptides
HMDB0000660	D-Fructose	C-glycosyl compounds	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	C-glycosyl compounds
HMDB0000684	L-Kynurenine	Alkyl-phenylketones	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	Alkyl-phenylketones
HMDB0000687	L-Leucine	Leucine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Leucine and derivatives
HMDB0000696	L-Methionine	Methionine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Methionine and derivatives
HMDB0000714	Hippuric acid	Hippuric acids	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	Hippuric acids
HMDB0000722	Lithocholyltaurine	Taurinated bile acids and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	direct_parent	Taurinated bile acids and derivatives
HMDB0000747	Isovalerylalanine	N-acyl-L-alpha-amino acids	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	N-acyl-L-alpha-amino acids
HMDB0000841	N-Acetylgalactosamine 6-sulfate	Monosaccharide sulfates	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Monosaccharide sulfates
HMDB0000858	Monomethyl glutaric acid	Fatty acid methyl esters	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	direct_parent	Fatty acid methyl esters
HMDB0000883	L-Valine	Valine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Valine and derivatives
HMDB0000901	Valproic acid glucuronide	O-glucuronides	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	O-glucuronides
HMDB0000944	Behenic acid	Very long-chain fatty acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	direct_parent	Very long-chain fatty acids
HMDB00009771	3-Hexaprenyl-4-hydroxy-5-methoxybenzoic acid	2-polyprenyl-6-methoxyphenols	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenylphenols	direct_parent	2-polyprenyl-6-methoxyphenols
HMDB0001004	Oxoamide	Aryl alkyl ketones	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	Aryl alkyl ketones
HMDB0001005	(S)-Ureidoglycolic acid	N-carbamoyl-alpha amino acids	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	N-carbamoyl-alpha amino acids
HMDB0001070	Octanoyl-CoA	2,3,4-saturated fatty acyl CoAs	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters	direct_parent	2,3,4-saturated fatty acyl CoAs
HMDB0001072	Coenzyme Q10	Ubiquinones	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids	direct_parent	Ubiquinones
HMDB0001080	4-Aminobutyraldehyde	Alpha-hydrogen aldehydes	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	Alpha-hydrogen aldehydes
HMDB00010851	Leukotriene B4	Leukotrienes	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	direct_parent	Leukotrienes
HMDB0001101	p-Anisic acid	P-methoxybenzoic acids and derivatives	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	P-methoxybenzoic acids and derivatives
HMDB0001123	2-Aminobenzoic acid	Aminobenzoic acids	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	Aminobenzoic acids
HMDB0001139	Prostaglandin F2a	Prostaglandins and related compounds	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	direct_parent	Prostaglandins and related compounds
HMDB0001177	(S)-Succinyldihydrolipoamide	Thia fatty acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	direct_parent	Thia fatty acids
HMDB00011861	N1-Acetylspermine	Acetamides	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	direct_parent	Acetamides
HMDB0001304	QH2	Ubiquinols	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids	direct_parent	Ubiquinols
HMDB0001492	gamma-Tocopherol	Tocopherols	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids	direct_parent	Tocopherols
HMDB0001513	Dolichyl diphosphate	Polyprenyl diphosphates	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenols	direct_parent	Polyprenyl diphosphates
HMDB0001539	Asymmetric dimethylarginine	Arginine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Arginine and derivatives
HMDB0001878	Thymol	Aromatic monoterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	direct_parent	Aromatic monoterpenoids
HMDB00019171	Digoxin	Cardenolide glycosides and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid lactones	direct_parent	Cardenolide glycosides and derivatives
HMDB0001965	Troxilin B3	Hydroxyeicosatrienoic acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	direct_parent	Hydroxyeicosatrienoic acids
HMDB0002020	3'-Hydroxy-e,e-caroten-3-one	Xanthophylls	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids	direct_parent	Xanthophylls
HMDB0002056	Monoisobutyl phthalic acid	Benzoic acid esters	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	Benzoic acid esters
HMDB0002085	Syringic acid	Gallic acid and derivatives	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	Gallic acid and derivatives
HMDB00021211	Carnosol	Diterpene lactones	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	direct_parent	Diterpene lactones
HMDB0002350	Octadecanol	Long-chain fatty alcohols	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	direct_parent	Long-chain fatty alcohols
HMDB0002352	Capsidiol	Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	direct_parent	Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids
HMDB00024301	(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid	Steroid glucuronide conjugates	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroidal glycosides	direct_parent	Steroid glucuronide conjugates
HMDB0002815	LysoPC(18:1(9Z)/0:0)	1-acyl-sn-glycero-3-phosphocholines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	direct_parent	1-acyl-sn-glycero-3-phosphocholines
HMDB0002972	Vitamin K1 2,3-epoxide	Vitamin K compounds	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids	direct_parent	Vitamin K compounds
HMDB0002995	12-Keto-tetrahydro-leukotriene B4	Other hydroxyeicosapolyenoic acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	direct_parent	Other hydroxyeicosapolyenoic acids
HMDB0003072	Quinic acid	Quinic acids and derivatives	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	direct_parent	Quinic acids and derivatives
HMDB00031411	Retinoyl b-glucuronide	Diterpene glycosides	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	direct_parent	Diterpene glycosides
HMDB0003236	Solanidine	Solanidines and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroidal alkaloids	direct_parent	Solanidines and derivatives
HMDB0003315	Cyclohexanone	Cyclic ketones	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	Cyclic ketones
HMDB0003352	Menthol	Menthane monoterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	direct_parent	Menthane monoterpenoids
HMDB0003559	Gibberellin A3	C19-gibberellin 6-carboxylic acids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	direct_parent	C19-gibberellin 6-carboxylic acids
HMDB0003648	Retinyl palmitate	Wax monoesters	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	direct_parent	Wax monoesters
HMDB0003869	epsilon-(gamma-Glutamyl)lysine	Glutamine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Glutamine and derivatives
HMDB0004062	Gentisate aldehyde	Hydroxybenzaldehydes	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	Hydroxybenzaldehydes
HMDB0004304	Nivalenol	Trichothecenes	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	direct_parent	Trichothecenes
HMDB0004461	Benzamide	Benzamides	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	Benzamides
HMDB00048891	Ganglioside GA2 (d18:1/9Z-18:1)	Phosphatidylinositols	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoinositols	direct_parent	Phosphatidylinositols
HMDB0005011	Clopidogrel	Alpha amino acid esters	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Alpha amino acid esters
HMDB0005073	Leukotriene B5	Hydroxyeicosapentaenoic acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	direct_parent	Hydroxyeicosapentaenoic acids
HMDB0005085	Leukotriene B4 dimethylamide	N-acyl amines	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	direct_parent	N-acyl amines
HMDB0005779	PE(P-18:0/20:4(5Z,8Z,11Z,14Z))	1-(1Z-alkenyl),2-acylglycerophosphoethanolamines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	direct_parent	1-(1Z-alkenyl),2-acylglycerophosphoethanolamines
HMDB0006327	alpha-Tocotrienol	Tocotrienols	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids	direct_parent	Tocotrienols
HMDB0007003	CPA(16:0/0:0)	1-acyl-sn-glycerol-2,3-cyclic-phosphates	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates	direct_parent	1-acyl-sn-glycerol-2,3-cyclic-phosphates
HMDB0007853	LysoPA(16:0/0:0)	1-acylglycerol-3-phosphates	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates	direct_parent	1-acylglycerol-3-phosphates
HMDB0007895	PC(14:0/P-16:0)	1-acyl,2-(1Z-alkenyl)-glycerophosphocholines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	direct_parent	1-acyl,2-(1Z-alkenyl)-glycerophosphocholines
HMDB0010032	PIP2(16:0/16:0)	Phosphatidylinositol-4,5-bisphosphates	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoinositol phosphates	direct_parent	Phosphatidylinositol-4,5-bisphosphates
HMDB0010226	CL(18:1(11Z)/18:1(11Z)/18:1(11Z)/18:2(9Z,12Z))	Cardiolipins	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoglycerophosphoglycerols	direct_parent	Cardiolipins
HMDB0010323	Phenethylamine glucuronide	N-glucuronides	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	N-glucuronides
HMDB0010352	3-alpha,20-alpha-Dihydroxy-5-beta-pregnane 3-glucuronide	1-acyl-sn-glycero-3-phosphoethanolamines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	direct_parent	1-acyl-sn-glycero-3-phosphoethanolamines
HMDB0010376	CE(24:0)	Phosphatidylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoglycerols	direct_parent	Phosphatidylglycerols
HMDB0010407	LysoPC(P-16:0/0:0)	1-(1Z-alkenyl)-glycero-3-phosphocholines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	direct_parent	1-(1Z-alkenyl)-glycero-3-phosphocholines
HMDB0010565	PE-NMe(18:1(9Z)/18:1(9Z))	Monomethylphosphatidylethanolamines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	direct_parent	Monomethylphosphatidylethanolamines
HMDB0011127	1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(Galactosyl-alpha-1-6-Galactosyl-beta-1)-glycerol	Glycosyldiacylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Glycosylglycerols	direct_parent	Glycosyldiacylglycerols
HMDB0011128	LysoPC(0:0/18:0)	2-acyl-sn-glycero-3-phosphocholines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	direct_parent	2-acyl-sn-glycero-3-phosphocholines
HMDB0011129	LysoPE(0:0/18:0)	2-acyl-sn-glycero-3-phosphoethanolamines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	direct_parent	2-acyl-sn-glycero-3-phosphoethanolamines
HMDB0011131	MG(18:0/0:0/0:0)	1-monoacylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Monoradylglycerols	direct_parent	1-monoacylglycerols
HMDB0011133	DHAP(18:0)	O-acylglycerone-phosphates	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	O-acylglycerone-phosphates
HMDB0011142	DHAP(O-18:0)	O-alkylglycerone phosphates	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	O-alkylglycerone phosphates
HMDB0011143	MG(O-18:0/0:0/0:0)	Monoalkylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Monoradylglycerols	direct_parent	Monoalkylglycerols
HMDB0011144	LysoPA(O-18:0/0:0)	Monoalkylglycerophosphates	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates	direct_parent	Monoalkylglycerophosphates
HMDB0011145	PA(O-16:0/18:0)	1-alkyl,2-acylglycerophosphates	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates	direct_parent	1-alkyl,2-acylglycerophosphates
HMDB0011149	LysoPC(O-18:0/0:0)	Monoalkylglycerophosphocholines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	direct_parent	Monoalkylglycerophosphocholines
HMDB0011151	PC(O-16:0/18:2(9Z,12Z))	1-alkyl,2-acylglycero-3-phosphocholines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	direct_parent	1-alkyl,2-acylglycero-3-phosphocholines
HMDB0011152	LysoPE(P-16:0/0:0)	1-(1Z-alkenyl)-glycero-3-phosphoethanolamines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	direct_parent	1-(1Z-alkenyl)-glycero-3-phosphoethanolamines
HMDB0011155	PA(P-16:0/18:2(9Z,12Z))	1-(1Z-alkenyl),2-acyl-glycerophosphates	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates	direct_parent	1-(1Z-alkenyl),2-acyl-glycerophosphates
HMDB0011203	PC(P-16:0/14:0)	1-(1Z-alkenyl),2-acyl-glycerophosphocholines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	direct_parent	1-(1Z-alkenyl),2-acyl-glycerophosphocholines
HMDB0011530	MG(0:0/14:0/0:0)	2-monoacylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Monoradylglycerols	direct_parent	2-monoacylglycerols
HMDB0011668	6-(alpha-D-Glucosaminyl)-1D-myo-inositol	Aminocyclitol glycosides	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Aminocyclitol glycosides
HMDB0012128	(R)-Amphetamine	Amphetamines and derivatives	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenethylamines	direct_parent	Amphetamines and derivatives
HMDB0012134	1,2-Dihydroxy-3-keto-5-methylthiopentene	Alpha-branched alpha,beta-unsaturated ketones	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	Alpha-branched alpha,beta-unsaturated ketones
HMDB0013253	N-Acetylhistamine	N-acetyl-2-arylethylamines	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	direct_parent	N-acetyl-2-arylethylamines
HMDB0013817	2,6-Di-tert-butylbenzoquinone	Monocyclic monoterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	direct_parent	Monocyclic monoterpenoids
HMDB0014371	Guanadrel	Ketals	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Ethers	direct_parent	Ketals
HMDB0014404	Sulfanilamide	Aminobenzenesulfonamides	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	direct_parent	Aminobenzenesulfonamides
HMDB00144261	Lidocaine	m-Xylenes	Organic compounds	Benzenoids	Benzene and substituted derivatives	Xylenes	direct_parent	m-Xylenes
HMDB0014608	Ketorolac	Aryl-phenylketones	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	Aryl-phenylketones
HMDB0014622	Amikacin	4,6-disubstituted 2-deoxystreptamines	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	4,6-disubstituted 2-deoxystreptamines
HMDB0014653	Vancomycin	Cyclic peptides	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	direct_parent	Cyclic peptides
HMDB0014742	Cisapride	Aminobenzamides	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	Aminobenzamides
HMDB0014942	Dicyclomine	Carboxylic acid esters	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	direct_parent	Carboxylic acid esters
HMDB0015302	Moclobemide	4-halobenzoic acids and derivatives	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	4-halobenzoic acids and derivatives
HMDB0015379	Iodixanol	Acylaminobenzoic acid and derivatives	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	Acylaminobenzoic acid and derivatives
HMDB0015643	Artemether	Artemisinins	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	direct_parent	Artemisinins
HMDB0015680	Nonoxynol-9	Polyethylene glycols	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Ethers	direct_parent	Polyethylene glycols
HMDB0029304	3,4-DHPEA-EA	Iridoids and derivatives	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	direct_parent	Iridoids and derivatives
HMDB0029309	Diosgenin 3-[glucosyl-(1->4)-rhamnosyl-(1->4)-[rhamnosyl-(1->2)]-glucoside]	Steroidal saponins	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroidal glycosides	direct_parent	Steroidal saponins
HMDB0029316	(3beta,5alpha)-Ergosta-7,23-dien-3-ol	Triterpene saponins	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	direct_parent	Triterpene saponins
HMDB0029382	Genomorphine	Abscisic acids and derivatives	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	direct_parent	Abscisic acids and derivatives
HMDB0029559	(4-Hydroxybenzoyl)choline	p-Hydroxybenzoic acid alkyl esters	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	p-Hydroxybenzoic acid alkyl esters
HMDB0029668	Eremopetasinorol	Cyclic alcohols and derivatives	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	direct_parent	Cyclic alcohols and derivatives
HMDB0029717	2-Thiophenecarboxaldehyde	Aryl-aldehydes	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	Aryl-aldehydes
HMDB0029760	1,1-Diethoxy-2-hexene	Acetals	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Ethers	direct_parent	Acetals
HMDB0029776	Dhurrin 6'-glucoside	Cyanogenic glycosides	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	Cyanogenic glycosides
HMDB0029792	Dieporeticenin	Annonaceous acetogenins	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	direct_parent	Annonaceous acetogenins
HMDB0029817	Ethyl salicylate	o-Hydroxybenzoic acid esters	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	o-Hydroxybenzoic acid esters
HMDB0029863	(3beta,22E)-26,27-Dinorergosta-5,22-dien-3-ol	3-hydroxysteroids	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Hydroxysteroids	direct_parent	3-hydroxysteroids
HMDB0029985	13,15-Triacontanedione	Beta-diketones	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	Beta-diketones
HMDB0030038	Euglobal V	5,10-cycloaromadendrane sesquiterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	direct_parent	5,10-cycloaromadendrane sesquiterpenoids
HMDB0030041	Lupulone	M-benzoquinones	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	M-benzoquinones
HMDB0030046	Asparagoside A	Furanoid fatty acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	direct_parent	Furanoid fatty acids
HMDB0030085	Pubescenol	Withanolides and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid lactones	direct_parent	Withanolides and derivatives
HMDB0030180	Crustecdysone	Hydroxy bile acids, alcohols and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	direct_parent	Hydroxy bile acids, alcohols and derivatives
HMDB0030404	Armillaripin	Melleolides and analogues	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	direct_parent	Melleolides and analogues
HMDB0030423	28-Homobrassinolide	Brassinolides and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid lactones	direct_parent	Brassinolides and derivatives
HMDB0030454	Macrophorin A	Cyclohexenones	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	direct_parent	Cyclohexenones
HMDB0030919	Acorusdiol	Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	direct_parent	Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids
HMDB0031011	Glycerol 1,3-dihexadecanoate	1,3-diacylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Diradylglycerols	direct_parent	1,3-diacylglycerols
HMDB0031137	Annosquamosin A	Kaurane diterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	direct_parent	Kaurane diterpenoids
HMDB0031378	4-Epiisoinuviscolide	Guaianolides and derivatives	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	direct_parent	Guaianolides and derivatives
HMDB0031402	23-Acetoxysoladulcidine	Spirosolanes and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroidal alkaloids	direct_parent	Spirosolanes and derivatives
HMDB0031456	2-Methylpropan-2-ol	Tertiary alcohols	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	direct_parent	Tertiary alcohols
HMDB0031888	Theacitrin A	Galloyl esters	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	direct_parent	Galloyl esters
HMDB0032428	Methylthiomethylmercaptan	Hemiacetals	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Ethers	direct_parent	Hemiacetals
HMDB0033228	Guaidiol	Guaianes	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	direct_parent	Guaianes
HMDB0034031	3-(2-Heptenyloxy)-2-hydroxypropyl undecanoate	1-alkyl,3-acylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Diradylglycerols	direct_parent	1-alkyl,3-acylglycerols
HMDB0034229	Hygromycin B	2-deoxystreptamine aminoglycosides	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	direct_parent	2-deoxystreptamine aminoglycosides
HMDB0035036	Glaucarubolone 15-O-beta-D-glucopyranoside	Quassinoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	direct_parent	Quassinoids
HMDB0036845	Cembrene	Cembrane diterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	direct_parent	Cembrane diterpenoids
HMDB0038836	Solanocardinol	Solanocapsine-type alkaloids	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroidal alkaloids	direct_parent	Solanocapsine-type alkaloids
HMDB0041835	Benzidine	Benzidines	Organic compounds	Benzenoids	Benzene and substituted derivatives	Biphenyls and derivatives	direct_parent	Benzidines
HMDB0060730	20, 22-Dihydrodigoxigenin	Cardenolides and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid lactones	direct_parent	Cardenolides and derivatives
HMDB0061690	LysoPI(20:4(5Z,8Z,11Z,14Z)/0:0)	1-acyl-sn-glycerol-3-phosphoinositols	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoinositols	direct_parent	1-acyl-sn-glycerol-3-phosphoinositols
HMDB0061920	Prop-2-enylcyclohexane	Cyclic olefins	Organic compounds	Hydrocarbons	Unsaturated hydrocarbons	Olefins	direct_parent	Cyclic olefins
465	NA	NA	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Amines	others	Alkanolamines
466	NA	NA	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	others	Glycosyl compounds
467	NA	NA	Organic compounds	Benzenoids	Phenols	NA	others	Phenols and derivatives
468	NA	NA	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylacetic acids	others	Phenylacetic acid derivatives
469	NA	NA	Organic compounds	Organoheterocyclic compounds	Furans	Furoic acid and derivatives	others	Furoic acid derivatives
470	NA	NA	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	others	Alpha,beta-unsaturated carbonyl compounds
471	NA	NA	Organic compounds	Hydrocarbons	Unsaturated hydrocarbons	Olefins	others	Acyclic olefins
